"lang"
{
"Language" "Polish"
"Harbor_cap_3"			"magazyn"

// 4dom_krepost
"dom_krepost_description"	"Cel:
Aby wygrać, każda drużyna musi przejąć i utrzymać aktywny punkt kontrolny, by zdobywać punkty.

Co 60 sekund aktywny punkt kontrolny zmienia się na bazę losowej drużyny.

Inne uwagi:
Walka o punkt kontrolny zatrzymuje zdobywanie punktów przez wroga.

Aktywny punkt kontrolny zostanie zablokowany po wybraniu nowego punktu kontrolnego.

Wyłącznie honorowa walka na pięści i miecze!"

"Krepost_cap_red"	"zamek drużyny RED"
"Krepost_cap_blu"	"zamek drużyny BLU"
"Krepost_cap_grn"	"zamek drużyny GRN"
"Krepost_cap_ylw"	"zamek drużyny YLW"

"Krepost_attack_red"	"Brama RED została otwarta!"
"Krepost_attack_blu"	"Brama BLU została otwarta!"
"Krepost_attack_grn"	"Brama GRN została otwarta!"
"Krepost_attack_ylw"	"Brama YLW została otwarta!"

// td_caper
"Caper_cap_A"		"punkt A, wieżę laserową"
"Caper_cap_B"		"punkt B, silosy"
"Caper_cap_C"		"punkt C, kanalizację"

// vipr_2bridge
"2Bridge_cap_A"		"most drużyny RED"
"2Bridge_cap_B"		"most drużyny BLU"

// vipr_drizzle
"Drizzle_cap_A"		"wejście do kopalni RED"
"Drizzle_cap_B"		"wejście do kopalni BLU"

// dom_railway
"Railway_cap_A"		"punkt A, garaż"
"Railway_cap_B"		"punkt B, halę załadunkową"
"Railway_cap_C"		"punkt C, składowisko"

// dom_sawtooth
"Sawtooth_cap_A"	"punkt A, punkt obserwacyjny"
"Sawtooth_cap_B"	"punkt B, tartak"
"Sawtooth_cap_C"	"punkt C, wieżę radiową"

// td_sunnyside
"Sunnyside_cap_A"	"punkt A, stodoły"
"Sunnyside_cap_B"	"punkt B, zbiorniki"
"Sunnyside_cap_C"	"punkt C, kurniki"

// vip_avanti
"Avanti_red_setup_goal"		"Zejdź w dół i zabij wrogiego VIP-a, by nie dotarł do strefy ucieczki!"
"Avanti_blue_setup_goal"	"Wejdź na górę i eskortuj VIP-a do strefy ucieczki!"
"Avanti_cap_1"				"magazyn"
"Avanti_cap_2"				"taras"
"Avanti_cap_3"				"dzwonnicę"
"Avanti_cap_4"				"bramę główną"

// vipr_chopper
"Chopper_cap_A"			"radar drużyny RED"
"Chopper_cap_B"			"radar drużyny BLU"

// 4plr_sisyphus
"Sisyphus_cap_peak"			"szczyt"

// ----------------------------------------------------------------
// Gamemodes
// ----------------------------------------------------------------

"Gametype_CTF_Penguin"		"Zdobądź pingwina" // We have fun here
"Gametype_Domination"		"Dominacja"
"Gametype_MedDomination"	"Dominacja (Średniowiecze)"
"Gametype_KOTF"				"Król flagi"
"Gametype_TD"				"Dominacja terytorialna"
"Gametype_VIP"				"VIP"
"Gametype_VIPRace"			"Wyścig VIP-ów"

"Gametype_FourTeam"			"Czterodrużyny"

"Gametype_Arena_FourTeam"			"Arena (Czterodrużyny)"
"Gametype_AttackDefense_FourTeam"	"Atak/obrona (Czterodrużyny)"
"Gametype_CP_FourTeam"				"Punkty kontrolne (Czterodrużyny)"
"Gametype_CTF_FourTeam"				"Zdobądź flagę (Czterodrużyny)"
"Gametype_Domination_FourTeam"		"Dominacja (Czterodrużyny)"
"Gametype_MedDomination_FourTeam"	"Dominacja (Średniowieczne czterodrużyny)"
"Gametype_KOTF_FourTeam"			"Król flagi (Czterodrużyny)"
"Gametype_Koth_FourTeam"			"Król wzgórza (Czterodrużyny)"
"Gametype_Escort_FourTeam"			"Ładunek (Czterodrużyny)"
"Gametype_EscortRace_FourTeam"		"Wyścig ładunków (Czterodrużyny)"
"Gametype_SD_FourTeam"				"Dostawa specjalna (Czterodrużyny)"
"Gametype_TD_FourTeam"				"Kontrola terytorialna (Czterodrużyny)"
"Gametype_Training_FourTeam"		"Szkolenie (Czterodrużyny)"
"Gametype_VIP_FourTeam"				"VIP (Czterodrużyny)"
"Gametype_VIPRace_FourTeam"			"Wyścig VIP-ów (Czterodrużyny)"

// Offline practice descriptions
"TF_GameModeDesc_VIP"			"Drużyna BLU eskortuje Cywila. Drużyna RED musi ich powstrzymać."
"TF_GameModeDesc_VIPRace"		"Eskortuj Cywila do mety, zanim zrobi to drużyna przeciwna."
"TF_GameModeDesc_Domination"	"Przejmij punkty kontrolne i broń je tak długo, jak to możliwe."
"TF_GameModeDesc_Arena"			"Wyeliminuj wszystkich wrogów lub zaczekaj do odblokowania punktu."

"TF_GameModeBrief_VIPRace"		"Wyścig VIP-ów - obie drużyny posiadają VIP-ów"

// ----------------------------------------------------------------
// Gamemode strings
// ----------------------------------------------------------------

// Domination
"default_dom_description"	"Cel:
Aby wygrać, każda drużyna musi przejąć i utrzymać aktywny punkt kontrolny, by zdobywać punkty. Im więcej punktów kontrolnych posiadasz, tym szybciej zdobywasz punkty.

Inne uwagi:
Walka o punkt kontrolny zatrzymuje zdobywanie punktów z tego punktu kontrolnego przez wroga.

Jeśli twoja drużyna przegrywa, przejmij wszystkie punkty kontrolne, by zdobyć bonusowe punkty."

"domination_setup_goal"	"Przejmij punkty kontrolne, by zdobyć z czasem punkty. Przejęcie więcej niż jednego punktu zwiększa twoje szanse na zwycięstwo!"

// VIP
"default_vip_description"	"Cel:
Drużyna BLU wygrywa eskortując VIP-a do strefy ucieczki zanim skończy się czas. Drużyna RED wygrywa, jeśli powstrzyma go przed dotarciem do strefy ucieczki.

Inne uwagi:
Drużyna BLU może wstrzymać postęp przejmowania punktu kontrolnego, jeśli VIP się na nim nie znajduje."

"vip_setup_goal_offense"		"Eskortuj VIP-a do strefy ucieczki."
"vip_setup_goal_defense"		"Zabij wrogiego VIP-a, by powstrzymać go przed dotarciem do strefy ucieczki."

"TF_VIP_Assigned"					"%s1 został VIP-em!"
"TF_VIP_Tutorial_Annotation_2"		"Zapewnia defensywne wzmocnienie sojusznikom w pobliżu oraz\nmoże tymczasowo wzmocnić członka swojej drużyny!"
"TF_VIP_Tutorial_Annotation_3"		"Pamiętaj, jego życie jest ważniejsze niż twoje, więc nie pozwól mu zginąć!"

"Cant_cap_civilian_only"			"Tylko VIP może\nprzejąć ten punkt."
"Cant_cap_civilian_only_frozen"		"Przejmowanie wstrzymane.\nTylko VIP może\nprzejąć ten punkt."

// VIP (Lives)
"vipl_setup_goal_offense"		"Eskortuj VIP-a do strefy ucieczki. Nie dopuść do jego eliminacji."
"vipl_setup_goal_defense"		"Aby wygrać, zabij VIP-a wrogiej drużyny albo powstrzymaj go przed dotarciem do strefy ucieczki."

// VIP (Flags)
"vip_bring_flag_here"		"Przynieś urządzenie tutaj!"
"vip_bring_flag"			"Przynieś urządzenie do pokoju kontrolnego!"

"TF_VIP_TakeDeviceToPoint"		"Zabierz urządzenie do pokoju kontrolnego!"
"TF_VIP_TeamDeviceReturned"		"Urządzenie powróciło! Idź po nie!"
"TF_VIP_EnemyDeviceReturned"	"Urządzenie powróciło! Chroń strefę zrzutu!"

// VIP Race
"default_vipr_description"	"Cel:
Aby wygrać, eskortuj VIP-a do punktów kontrolnych, a potem do strefy ucieczki. Zabij wrogiego VIP-a, by zresetować przejęte przez niego punkty kontrolne.

Inne uwagi:
Jeśli twój VIP zginie, stracisz wszystkie punkty kontrolne, które zdołał przejąć.

Każda drużyna może wstrzymać postęp przejmowania punktu kontrolnego, jeśli jej VIP się na nim nie znajduje.

Zabij wrogiego VIP-a, by wygrać rundę, gdy nastąpi nagła śmierć!"

"vipr_setup_goal"			"Eskortuj swojego VIP-a do punktów kontrolnych. Powstrzymaj wrogiego VIP-a przed tym samym!"
"vipr_setup_goal_4team"		"Eskortuj swojego VIP-a do punktów kontrolnych. Powstrzymaj wrogie drużyny przed tym samym!"

"vipr_cap_wrong_vip"		"Przejmij punkt kontrolny WROGA, głuptasie!"
"vipr_own_civ_death"		"Twój VIP został wyeliminowany! Chroń go!"
"vipr_their_civ_death"		"Dobra robota! Ich VIP został wyeliminowany!"
"vipr_cap_a_reset"			"Punkt kontrolny A został zresetowany!"
"vipr_cap_b_reset"			"Punkt kontrolny B został zresetowany!"
"vipr_cap_a_reset_vip"		"Nie żyjesz! Punkt kontrolny A został zresetowany!"
"vipr_cap_b_reset_vip"		"Nie żyjesz! Punkt kontrolny B został zresetowany!"

"vipr_central_point"		"centralny punkt kontrolny"
"vipr_cap_mid_reset"		"Centralny punkt kontrolny został zresetowany!"
"vipr_death_cap_mid_reset"	"Nie żyjesz! Centralny punkt kontrolny został zresetowany!"

"vipr_red_civ_death"		"VIP drużyny RED został wyeliminowany!"
"vipr_blu_civ_death"		"VIP drużyny BLU został wyeliminowany!"
"vipr_ylw_civ_death"		"VIP drużyny YLW został wyeliminowany!"
"vipr_grn_civ_death"		"VIP drużyny GRN został wyeliminowany!"

"vipr_escape_zone"			"strefę ucieczki"

// Territorial Domination
"default_td_description"	"Cel:
Aby wygrać, każda drużyna musi przejąć wszystkie punktu kontrolne.

Inne uwagi:
Odradzasz się na punktach kontrolnych, które posiadasz.

Własność punktów kontrolnych przez drużyny jest losowana na początku każdej rundy."

// Payload Race (Four-Team)
"4plr_goal"			"Przemieść wózek do końca torów, by wygrać!"

"4plr_cap_red"		"punkt przejęcia RED"
"4plr_cap_blu"		"punkt przejęcia BLU"
"4plr_cap_grn"		"punkt przejęcia GRN"
"4plr_cap_ylw"		"punkt przejęcia YLW"

// Useful generic stuff for mappers
"generic_cap_A"		"punkt kontrolny A"
"generic_cap_B"		"punkt kontrolny B"
"generic_cap_C"		"punkt kontrolny C"
"generic_cap_D"		"punkt kontrolny D"
"generic_cap_E"		"punkt kontrolny E"

// Arena
"TF_Arena_Welcome"				"Tryb Arena"
"TF_Arena_Team_SizeIncreased"	"Wielkość drużyny %s1 została zwiększona do %s2."
"TF_Arena_Team_SizeDecreased"	"Wielkość drużyny %s1 została zmniejszona do %s2."

// ----------------------------------------------------------------
// Intro movies
// ----------------------------------------------------------------

// cp_coldfront
"TF_IM_Coldfront_Intro"		"Coldfront jest mapą typu Punkty kontrolne."

// cp_steel
"TF_IM_Steel_Intro"			"Steel jest mapą typu Atak/obrona."
"TF_IM_Steel_BlueWin"		"Aby wygrać, drużyna BLU musi przejąć punkt E."
"TF_IM_Steel_PlotTwist"		"Jednakże..."
"TF_IM_Steel_FinalCap"		"Punkt E jest stale dostępny. Drużyna BLU może go przejąć w dowolnym momencie."
"TF_IM_Steel_Points"		"Przejęcie punktów A, B, C i D ułatwi zdobycie E!"
"TF_IM_Steel_CapA"			"Przejęcie punktu A otwiera dodatkowe przejścia do B i E."
"TF_IM_Steel_CapB"			"Przejęcie punktu B przesuwa strefę odradzania drużyny RED i otwiera dodatkowe przejście do C."
"TF_IM_Steel_CapC"			"Przejęcie punktu C przedłuża most do E."
"TF_IM_Steel_CapD"			"Przejęcie punktu D utrudnia drużynie RED łatwe dotarcie do E."
"TF_IM_Steel_Bridge"		"Bez mostów, nie wszystkie klasy mogą dotrzeć do punktu E."
"TF_IM_Steel_Pit"			"Uważaj na przepaść!"

// VIP Race
"TF_IM_VIPR_Intro"		"Witamy w trybie Wyścig VIP-ów"
"TF_IM_VIPR_ToWin"		"Aby wygrać, musisz pomóc swojemu VIP-owi przejąć punkt kontrolny wroga..."
"TF_IM_VIPR_Escape"		"...a następnie odeskortować go do strefy ucieczki, zanim wroga drużyna zrobi to samo!"
"TF_IM_VIPR_Death"		"Jeśli VIP zginie, wszystkie punkty, które zostały przez niego przejęte, zostaną zresetowane."
"TF_IM_VIPR_HUD"		"Status i postęp obu VIP-ów znajdziesz na dole ekranu."

// ----------------------------------------------------------------
// Scoreboard
// ----------------------------------------------------------------

"TF_ScoreBoard_Player"				"%s1 gracz"
"TF_ScoreBoard_Players"				"%s1 graczy"

"ScoreBoard_Spectator"				"%s1 widz: %s2"
"ScoreBoard_Spectators"				"%s1 widzów: %s2"

"TF_ScoreBoard_KillsLabel"			"Zabójstwa:"
"TF_ScoreBoard_AssistsLabel"		"Asysty:"
"TF_ScoreBoard_DeathsLabel"			"Zgony:"

"TF_Scoreboard_DamageLabel"			"Obrażenia:"
"TF_ScoreBoard_HealingLabel"		"Uleczono:"
"TF_Scoreboard_SupportLabel"		"Wsparcie:"

"TF_ScoreBoard_CapturesLabel"		"Przejęte cele:"
"TF_ScoreBoard_DefensesLabel"		"Obrony:"
"TF_ScoreBoard_DominationsLabel"	"Dominacje:"
"TF_ScoreBoard_RevengesLabel"		"Odwety:"
"TF_ScoreBoard_BonusLabel"			"Bonus:"

"TF_ScoreBoard_UberchargesLabel"	"Übery:"
"TF_ScoreBoard_TransportsLabel"		"Transporty:"
"TF_ScoreBoard_DestructionsLabel"	"Zniszczenia:"
"TF_ScoreBoard_HeadshotsLabel"		"Strzały w głowę:"
"TF_ScoreBoard_BackstabsLabel"		"Dźgnięcia w plecy:"

"TF_Medal_Developer"			"Programista TF2C"
"TF_Medal_Contributor"			"Kontrybutor TF2C"
"TF_Medal_Playtester"			"Tester TF2C"

// ----------------------------------------------------------------
// Win Panel
// ----------------------------------------------------------------

"Winpanel_Teams1"		"DRUŻYNY"
"Winpanel_Teams2"		"Drużyny"

"Winpanel_TeamWins"			"%s2 %s1 WYGRYWA!"
"Winpanel_TeamLost"			"%s2 %s1 PRZEGRYWA!"
"Winpanel_TeamAdvances"		"%s2 %s1 ZDOBYWA TEREN"
"Winpanel_TeamDefends"		"%s2 %s1 OBRONIŁA SIĘ!"

"WinPanel_Green_Team_Wins"	"Drużyna GRN wygrywa"
"WinPanel_Yellow_Team_Wins"	"Drużyna YLW wygrywa"

"Winpanel_GreenWins"		"DRUŻYNA GRN WYGRYWA!"
"Winpanel_GreenAdvances"	"DRUŻYNA GRN ZDOBYWA TEREN"
"Winpanel_GreenDefends"		"DRUŻYNA GRN OBRONIŁA SIĘ!"
"Winpanel_YellowWins"		"DRUŻYNA YLW WYGRYWA!"
"Winpanel_YellowAdvances"	"DRUŻYNA YLW ZDOBYWA TEREN"
"Winpanel_YellowDefends"	"DRUŻYNA YLW OBRONIŁA SIĘ!"
"Winpanel_GreenMVPs"		"Najlepsi w drużynie GRN:"
"Winpanel_YellowMVPs"		"Najlepsi w drużynie YLW:"

"Winreason_KOTHPointHeld"		"Drużyna %s1 obroniła punkt kontrolny do wyczerpania czasu"
"Winreason_PayloadPushed"		"Drużyna %s1 odeskortowała wózek do końca trasy"
"Winreason_ArenaPointCaptured"	"Drużyna %s1 przejęła punkt kontrolny"
"Winreason_RoundScoreLimit"		"Drużyna %s1 zdobyła %s2 punktów"
"Winreason_VIPEscaped"			"VIP uciekł"
"Winreason_VIPKilled"			"VIP został wyeliminowany"

// ----------------------------------------------------------------
// Main Menu
// ----------------------------------------------------------------

"TF_Menu_Welcome"				"Witaj ponownie,"
"TF_Menu_Name"					"%playername%!"

"TF_Menu_HideName"				"[UTAJNIONE]"

"TF_Menu_ResumeGame"			"Wznów grę"
"TF_Menu_Mute"					"Wycisz graczy"
"TF_Menu_Vote"					"Głosowanie"

"TF_Menu_FindServers"			"Znajdź serwery"
"TF_Menu_CreateServer"			"Stwórz serwer"
"TF_Menu_OfflineTraining"		"Szkolenie offline"

"TF_Menu_Loadout"				"Wyposażenie"

"TF_Menu_Achievements"			"Osiągnięcia"
"TF_Menu_Stats"					"Statystyki"

"TF_Menu_Options"				"Ustawienia"
"TF_Menu_Addons"				"Dodatki (wkrótce!)"

"TF_Menu_Quit"					"Wyjście"
"TF_Menu_Disconnect"			"Rozłącz"

"TF_Menu_Blog"					"Oficjalny blog"
"TF_Menu_LatestUpdate"			"Najnowsza aktualizacja"
"TF_Menu_ReportBug"				"Zgłoś błąd"

"TF_Friends_Title"					"Znajomi (%friend_count%)"
"TF_Friends_Status_InTF2C"			"Gra w TF2C"
"TF_Friends_Status_Idle_InTF2C"		"Bezczynny w TF2C"
"TF_Friends_Status_InMod"			"Gra w innego moda"
"TF_Friends_Status_Idle_InMod"		"Bezczynny w innym modzie"
"TF_Friends_Status_InGame"			"Gra w inną grę"
"TF_Friends_Status_Idle"			"Bezczynny w innej grze"
"TF_Friends_Status_Online"			"Dostępny"
"TF_Friends_Status_Away"			"Zaraz wracam"
"TF_Friends_Status_Offline"			"Niedostępny"

"ChallengeDetails"					"%s1 jako %s2"


// ----------------------------------------------------------------
// Loadout
// ----------------------------------------------------------------

// Loadout gamemode indicator
"TF_Loadout_Modifier_StockItemsOnly"		"Tylko przedmioty domyślne!"
"TF_Loadout_Modifier_MedievalItemsOnly"		"Tylko przedmioty \"średniowieczne\"!"
"TF_Loadout_Modifier_RandomizerClasses"		"Losowe klasy!"
"TF_Loadout_Modifier_RandomizerItems"		"Losowe przedmioty!"
"TF_Loadout_Modifier_RandomizerAttributes"	"Losowe atrybuty!"
"TF_Loadout_Modifier_RandomizerMayhem"		"Losowe zamieszanie!"
"TF_Loadout_Modifier_CustomWeaponsEnabled"	"Niestandardowe bronie włączone!"

// Item slot types
"TF_Loadout_Slot_Invalid"		"Nieprawidłowy"
"TF_Loadout_Slot_Primary"		"Broń podstawowa"
"TF_Loadout_Slot_Secondary"		"Broń pomocnicza"
"TF_Loadout_Slot_Melee"			"Broń do walki wręcz"
"TF_Loadout_Slot_Utility"		"Przybór"
"TF_Loadout_Slot_Building"		"Konstrukcja"
"TF_Loadout_Slot_PDA1"			"Podstawowy PDA"
"TF_Loadout_Slot_PDA2"			"Drugorzędny PDA"

// Item slot vanity names
"TF_Loadout_Slot_Secondary_Medic"	"Medigun"
"TF_Loadout_Slot_Building_Spy"		"Saper"
"TF_Loadout_Slot_PDA2_Spy"			"Zegarek"

"TF_Loadout_Close"			"Zamknij"
"TF_Loadout_Back"			"Wstecz"
"TF_Loadout_Defaults"		"Domyślne"

// Reset inventory
"TF_ConfirmDefaultInventory_Title"		"Domyślne wyposażenie"
"TF_ConfirmDefaultInventory_Message"	"Czy chcesz przywrócić domyślne wyposażenie dla tej klasy?"
"TF_ConfirmDefaultInventory_OK"			"Tak"

// ----------------------------------------------------------------
// Options
// ----------------------------------------------------------------

// TODO this is one big mess
// Keyboard Options
"TF2c_KeyboardCategory_Movement"		"RUCH"
"TF2c_KeyboardCategory_Combat"			"WALKA"
"TF2c_KeyboardCategory_Communication"	"KOMUNIKACJA"
"TF2c_KeyboardCategory_UI"				"INTERFEJS"
"TF2c_KeyboardCategory_Extra"			"DODATKI"
"TF2c_UseDefaultsButton"				"Zresetuj przypisane klawisze"
"TF_ClassSkill_Spy_Spywalk"				"SZPIEG: szybkość Szpiega"
"TF_Voice_Menu_0_0"				"Komenda głosowa: MEDYK!"
"TF_Voice_Menu_0_1"				"Komenda głosowa: Dzięki!"
"TF_Voice_Menu_1_0"				"Komenda głosowa: Nadchodzą"
"TF_Voice_Menu_1_1"				"Komenda głosowa: Szpieg!"
"TF_Voice_Menu_1_2"				"Komenda głosowa: Przed nami działko!"
"TF_Voice_Menu_1_3"				"Komenda głosowa: Teleport, tutaj"
"TF_Voice_Menu_1_4"				"Komenda głosowa: Zasobnik, tutaj"
"TF_Voice_Menu_1_5"				"Komenda głosowa: Działko, tutaj"
"TF_Voice_Menu_1_6"				"Komenda głosowa: Aktywuj ładunek"
"TF_Voice_Menu_1_7"				"Komenda głosowa: (MEDYK) Stan ÜberCharge"
"TF_Voice_Menu_2_0"				"Komenda głosowa: Pomocy!"
"TF_Spec_Next"			"Następny cel widza"
"TF_Spec_Prev"			"Poprzedni cel widza"
"TF_Spec_Mode"			"Przełącz tryb widza"
"TF_Use"				"Użyj (interakcja)"
"TF_Kill"				"Zabij (siebie)"
"TF_Explode"			"Wybuchnij (siebie)"

// Scoreboard Options
"TF_Enable"						"Włącz"
"TF_Disable"					"Wyłącz"
"TF_RightClick_Enable"			"Prawy przycisk, by włączyć"
"TF_RightClick_Enable_Mouse"	"Prawy przycisk, by włączyć myszkę"

// UI options
"TF_Open_Charinfo"					"Otwórz wyposażenie klasy"

"TF2c_EnableGamepad"				"Włącz kontroler"

"TF2c_MouseRawInput"				"Bezpośredni odczyt"
"TF2c_MouseSensitivity"				"Czułość myszy"
"TF2c_MouseSmoothing"				"Wygładzanie myszy"
"TF2c_MouseAcceleration"			"Akceleracja myszy"
"TF2c_MouseAccelerationStrength"	"Siła akceleracji myszy"

"TF2c_Options_Game"						"GRA"
"TF2c_Options_Input"					"STEROWANIE"
"TF2c_Options_Video"					"WIDEO"
"TF2c_Options_Audio"					"DŹWIĘK"
"TF2c_Options_MultiPlayer"				"WIELOOSOBOWY"

"TF2c_OptionCategory_Mouse"				"MYSZKA"
"TF2c_OptionCategory_Joystick"			"KONTROLER"
"TF2c_OptionCategory_Keyboard"			"KLAWIATURA"

"TF2c_OptionCategory_Graphics"			"GRAFIKA"
"TF2c_OptionCategory_Video"				"WIDEO"

"TF2c_OptionCategory_Volume"			"GŁOŚNOŚĆ"
"TF2c_OptionCategory_Device"			"URZĄDZENIE"
"TF2c_OptionCategory_Language"			"JĘZYK"
"TF2c_OptionCategory_Voice"				"GŁOS"

"TF2c_OptionCategory_Combat"			"WALKA"
"TF2c_OptionCategory_HUD"				"INTERFEJS"
"TF2c_OptionCategory_ViewModel"			"MODEL BRONI"
"TF2c_OptionCategory_ClassSpecific"		"OPCJE KLAS"
"TF2c_OptionCategory_Performance"		"WYDAJNOŚĆ"
"TF2c_OptionCategory_Misc"				"INNE"
"TF2c_OptionCategory_Replay"			"POWTÓRKI"
"TF2c_OptionCategory_DemoSupport"		"DEMA"
"TF2c_OptionCategory_Communication"		"KOMUNIKACJA"

"TF2c_OptionCategory_CustomizationMultiplayer"		"Dostosowanie"
"TF2c_OptionCategory_Network"			"SIEĆ"

"TF2c_MuteUnfocused"				"Wycisz w tle"

"TF2c_Options_Custom"				"Własne"

"TF2c_ChatFilterSettingsButton"		"Otwórz ustawienia"

"GameUI_CloseWithoutSaving"				"Wyjdź bez zapisywania"
"GameUI_CloseWithoutSavingText" 		"Czy na pewno chcesz wyjść?\nWszystkie niezapisane zmiany zostaną utracone!"
"GameUI_Legacy"							"Starsze menu"
"GameUI_Effect_Detail"          		"Detale efektów"
"GameUI_VeryLow"               			"Poziom b. niski"
"GameUI_Off"               				"Wyłączone"
"GameUI_Everyone"               		"Każdy"
"GameUI_FriendsOnly"               		"Tylko znajomi"

"GameUI_Restart"						"Wymagane ponowne uruchomienie gry"
"GameUI_RestartText"					"Niektóre zmiany wymagają ponownego uruchomienia gry:"
"GameUI_OptionsRestart_Revert"			"Cofnij zmiany"

"GameUI_Disconnect_TooManyCommands"		"Rozłączono: zbyt wiele poleceń."

// Combat
"TF2C_Option_DamageFeedback"			"Włącz informowanie o obrażeniach"
"TF2C_Tooltip_DamageFeedback"			"Informowanie o obrażeniach odtwarza dźwięki podczas zadawania lub otrzymywania różnych rodzajów obrażeń."
"TF2C_Option_DamageFeedbackOutgoing"			"Włącz informowanie o zadawanych obrażeniach"
"TF2C_Tooltip_DamageFeedbackOutgoing"			"Informowanie o zadawanych obrażeniach odtwarza dźwięki podczas zadawania obrażeń wrogom."
"TF2C_Option_DamageFeedbackOutgoingVolume"		"Głośność informowania o zadawanych obrażeniach"
"TF2C_Tooltip_DamageFeedbackOutgoingVolume"		"Głośność odtwarzanych dźwięków informujących o zadawanych obrażeniach."
"TF2C_Option_DamageFeedbackIncoming"			"Włącz informowanie o otrzymywanych obrażeniach"
"TF2C_Tooltip_DamageFeedbackIncoming"			"Informowanie o otrzymywanych obrażeniach odtwarza dźwięki podczas otrzymywania obrażeń."
"TF2C_Option_DamageFeedbackIncomingVolume"		"Głośność informowania o otrzymywanych obrażeniach"
"TF2C_Tooltip_DamageFeedbackIncomingVolume"		"Głośność odtwarzanych dźwięków informujących o otrzymywanych obrażeniach."

"TF_CenterFirePreference"         		"Preferuj, by pociski był wystrzeliwane po środku ekranu"
"TF_CenterFirePreference_Tip"    		"Włączenie tej opcji spowoduje, że pozycja Y pojawiających się pocisków zostanie ustawiona na 0; wymaga, by gracz był rozłączony z serwerem lub w trybie widza, by zastosować zmiany."
"TF_BurningDeathAnim"					"Włącz animację śmierci od ognia"
"TF_BurningDeathAnim_Tip"				"Włączenie tej opcji spowoduje, że kukły (tzw. „ragdolle”) będą miały szansę na odtworzenie specjalnej animacji śmierci podczas umierania od ognia."
"TF_CombatTextBatchingWindow"			"Opóźnienie między skumulowanym wyświetlaniem tekstu obrażeń"
"TF_CombatTextBatchingWindow_Tip"		"Maksymalne opóźnienie między wyświetlaniem tekstu zadawanych obrażeń, pozwalające na ich zgrupowanie."
"TF_CombatTextDropShadow"				"Włącz wyświetlanie cieni tekstu zadawanych obrażeń"
"TF_CombatTextDropShadow_Tip"			"Włączenie tej opcji spowoduje, że tekst zadawanych obrażeń będzie posiadał cenie."

// ClassSpecific
"TF_CyclopsDoubleTap"             		"DEMOMAN: wymuś podwójne kliknięcie dla Cyklopa"
"TF_CyclopsDoubleTap_Tip"        		"Włączenie tej opcji spowoduje, że granaty Cyklopa będą wymagały podwójnego kliknięcia, by je zdetonować, zamiast po puszczeniu przycisku myszy."
"TF_SapperAwareness"					"INŻYNIER: swiadomość o saperze"
"TF_SapperAwareness_Tip"				"Włączenie tej opcji spowoduje, że ostrzeżenie o saperze na konstrukcjach będzie w innym kolorze."
"TF_SniperBell"							"SNAJPER: odtwórz dźwięk, gdy w pełni naładowany"
"TF_SniperBell_Tip"						"Odtwórz dźwięk, gdy karabin snajperski jest w pełni naładowany."
"TF_ZoomSensitivityRatio"				"SNAJPER: czułość przybliżenia"
"TF_ZoomSensitivityRatio_Tip"			"Dostosowuje czułość przybliżenia celownika."
"TF_SpywalkInverted"					"SZPIEG: domyślnie używaj szybkości Szpiega"
"TF_SpywalkInverted_Tip"				"Włączenie tej opcji spowoduje, że szybkość Szpiega będzie używana domyślnie, a normalna szybkość wolniejszych klas będzie dostępna po użyciu przypisanego klawisza."
"TF_ViewModelCloakTint"					"SZPIEG: zabarwienie modelu broni, będąc niewidzialnym"
"TF_ViewModelCloakTint_Tip"				"Pozwala na zabarwienie modelu broni, będąc niewidzialnym."
"TF_AvoidBecomingVIP"					"CYWIL: unikaj zostania VIP-em"
"TF_AvoidBecomingVIP_Tip"				"Włączenie tej opcji spowoduje, że na ogół nie będziesz brany pod uwagę przy wybieraniu VIP-a; możesz nadal zostać wybrany, jeśli wszyscy na serwerze maję tę opcję włączoną lub jeśli wygrałeś głosowanie."

// HUD
"TF_LoadoutGrid"					"Włącz układ siatki wyposażenia"
"TF_LoadoutGrid_Tip"				"Włączenie tej opcji spowoduje, że strona wyposażenia broni zostanie wyświetlona w formie siatki."
"TF_HighlightAmmo"					"Wyświetlaj świecące kontury na upuszczonych broniach"
"TF_HighlightAmmo_Tip"				"Włączenie tej opcji spowoduje, że upuszczone bronie będą miały świecące kontury, by zaznaczyć ich położenie."
"TF_ScoreBoardShowAvatars"			"Pokaż obrazy awatarów na tablicy wyników"
"TF_ShowCurrentWeapon"				"Wyświetl obecnie wyposażoną broń"
"TF_OverlayToastPosition"         	"Położenie powiadomień nakładki Steam"
"TF_TopLeft"                      	"Lewy górny róg"
"TF_TopRight"                     	"Prawy górny róg"
"TF_BottomLeft"                   	"Lewy dolny róg"
"TF_BottomRight"                  	"Prawy dolny róg"
"TF_OverlayToastInsetHoriz"       	"Poziomowe wysuwanie powiadomień Steam"
"TF_OverlayToastInsetVert"        	"Pionowe wysuwanie powiadomień Steam"
"TF_TargetID_Floating_Health"	  	"ID celu - włącz latający pasek zdrowia"
"TF_TargetID_Floating_Health_Tip" 	"Włączenie tej opcji spowoduje, że nad postacią wyświetlany będzie pasek zdrowia."
