"lang"
{
"Language" "Spanish"
Escolta a tu VIP a los Puntos de Control y luego a la Zona de huida para ganar. Mata al VIP enemigo para reiniciar los puntos de control que haya reclamado.

Información adicional:
Si tu VIP muere, pierdes cualquier Punto de Control que tu VIP haya capturado.

Cualquier equipo puede retener el progreso de captura de un Punto de Control si su VIP no está presente.

Durante la Muerte Súbita, ¡se puede matar al VIP enemigo para ganar la ronda!"

"vipr_setup_goal"        	"Escolta a tu VIP a los Puntos de Control. ¡Evita que el VIP enemigo haga lo mismo!"
"vipr_setup_goal_4team"        	"Escolta a tu VIP a los Puntos de Control. ¡Evita que los equipos enemigos hagan lo mismo!"

"vipr_cap_wrong_vip"		"¡Captura el Punto de Control ENEMIGO, tonto!"
"vipr_own_civ_death"        	"¡Tu VIP ha sido eliminado! ¡Protégele!"
"vipr_their_civ_death"        	"¡Buen trabajo! ¡Su VIP ha sido eliminado!"
"vipr_cap_a_reset"        	"¡El Punto de Control A se ha reiniciado!"
"vipr_cap_a_reset_vip"        	"¡Has muerto! ¡El punto de control A se ha reiniciado!"
"vipr_cap_b_reset"        	"¡El Punto de Control B se ha reiniciado!"
"vipr_cap_b_reset_vip"        	"¡Has muerto! ¡El punto de control B se ha reiniciado!"

"vipr_central_point"		"El Punto de Control Central"
"vipr_cap_mid_reset"        	"¡El Punto de Control Central se ha reiniciado!"
"vipr_death_cap_mid_reset"    	"¡Has muerto! ¡El Punto de Control Central se ha reiniciado!"

"vipr_red_civ_death"    "¡El VIP de RED ha sido eliminado!"
"vipr_blu_civ_death"    "¡El VIP de BLU ha sido eliminado!"
"vipr_ylw_civ_death"    "¡El VIP de YLW ha sido eliminado!"
"vipr_grn_civ_death"    "¡El VIP de GRN ha sido eliminado!"

"vipr_escape_zone"	"la zona de huida"

// Territorial Domination
"default_td_description"			"Objective:
Para ganar, cada equipo debe poseer todos los Puntos de Control.

Información adicional:
Reapareces en los Puntos de Control que posees.

La posesión de Puntos de Control por parte de los equipos es aleatoria al comienzo de cada ronda."

// Payload Race (Four-Team)
"4plr_goal"	"¡Mueve la vagoneta al final de la pista para ganar!"

"4plr_cap_red"			"Punto de Control de RED"
"4plr_cap_blu"			"Punto de Control de BLU"
"4plr_cap_grn"			"Punto de Control de GRN"
"4plr_cap_ylw"			"Punto de Control de YLW"

// Useful generic stuff for mappers
"generic_cap_A"			"Punto de Control A"
"generic_cap_B"			"Punto de Control B"
"generic_cap_C"			"Punto de Control C"
"generic_cap_D"			"Punto de Control D"
"generic_cap_E"			"Punto de Control E"

// ----------------------------------------------------------------
// Intro movies
// ----------------------------------------------------------------

// cp_coldfront
"TF_IM_Coldfront_Intro"	"Coldfront es un mapa de Puntos de Control"

// cp_steel
"TF_IM_Steel_Intro"	"Steel es un mapa de Ataque/Defensa."
"TF_IM_Steel_BlueWin"	"BLU tiene que capturar el punto E para ganar."
"TF_IM_Steel_PlotTwist"	"Pero..."
"TF_IM_Steel_FinalCap"	"El punto E siempre esta activo. BLU lo puede capturar en cualquier momento."
"TF_IM_Steel_Points"	"¡Capturar los puntos A, B, C y D hará que E sea más fácil de capturar!"
"TF_IM_Steel_CapA"	"Capturando A, se abre caminos a B y E."
"TF_IM_Steel_CapB"	"Capturando B, se cambia la sala de reaparición y abre una ruta extra a C."
"TF_IM_Steel_CapC"	"Capturando C, se extienden unos puentes a E."
"TF_IM_Steel_CapD"	"Capturando D, evita que RED acceda a E fácilmente y extiende barandillas en el puente."
"TF_IM_Steel_Bridge"	"Sin los puentes, no todos pueden llegar a E."
"TF_IM_Steel_Pit"	"¡Cuidado con el abismo!"

// VIP Race
"TF_IM_VIPR_Intro"	"Bienvenido al modo de Carrera VIP"
"TF_IM_VIPR_ToWin"	"Para ganar, debes ayudar a tu VIP a capturar el Punto de Control enemigo..."
"TF_IM_VIPR_Escape"	"... ¡y luego escoltarlo a la Zona de Fuga antes de que el equipo enemigo pueda hacer lo mismo!"
"TF_IM_VIPR_Death"	"Si un VIP muere, se restablecerán todos los puntos que haya capturado."
"TF_IM_VIPR_HUD"	"El estado y el progreso de ambos VIP se pueden encontrar en la parte inferior de la pantalla."

// ----------------------------------------------------------------
// Scoreboard
// ----------------------------------------------------------------

"TF_ScoreBoard_Player"				"%s1 Jugador"
"TF_ScoreBoard_Players"				"%s1 Jugadores"

"ScoreBoard_Spectator"				"%s1 espectador: %s2"
"ScoreBoard_Spectators"				"%s1 espectadores: %s2"

"TF_ScoreBoard_KillsLabel"			"Víctimas:"
"TF_ScoreBoard_AssistsLabel"		"Asistencias:"
"TF_ScoreBoard_DeathsLabel"			"Muertes:"

"TF_Scoreboard_DamageLabel"			"Daños:"
"TF_ScoreBoard_HealingLabel"		"Curación:"
"TF_Scoreboard_SupportLabel"		"Apoyo:"

"TF_ScoreBoard_CapturesLabel"		"Capturas:"
"TF_ScoreBoard_DefensesLabel"		"Defensas:"
"TF_ScoreBoard_DominationsLabel"	"Dominaciones:"
"TF_ScoreBoard_RevengesLabel"		"Venganzas:"
"TF_ScoreBoard_BonusLabel"			"Bonificación:"

"TF_ScoreBoard_UberchargesLabel"	"Supercargas:"
"TF_ScoreBoard_TransportsLabel"		"Transportes:"
"TF_ScoreBoard_DestructionsLabel"	"Destrucciones:"
"TF_ScoreBoard_HeadshotsLabel"		"Disparos a Cabezas:"
"TF_ScoreBoard_BackstabsLabel"		"Apuñaladas:"

"TF_Medal_Developer"				"Desarrollador de TF2C"
"TF_Medal_Contributor"				"Colaborador de TF2C"
"TF_Medal_Playtester"				"Playtester de TF2C"

// ----------------------------------------------------------------
// Win Panel
// ----------------------------------------------------------------

"Winpanel_Teams1"			"LOS EQUIPOS"
"Winpanel_Teams2"			"Los equipos"

"Winpanel_TeamWins"	"¡%s2 %s1 GANA!"
"Winpanel_TeamLost"	"¡%s2 %s1 PIERDEN!"
"Winpanel_TeamAdvances"	"%s2 %s1 OCUPA LA ZONA"
"Winpanel_TeamDefends"	"¡%s2 %s1 DEFIENDE!"

"WinPanel_Green_Team_Wins"	"El equipo GRN gana"
"WinPanel_Yellow_Team_Wins"	"El equipo YLW gana"

"Winpanel_GreenWins"			"¡EL EQUIPO GRN GANA!"
"Winpanel_GreenAdvances"		"EL EQUIPO GRN OCUPA LA ZONA"
"Winpanel_GreenDefends"			"¡EL EQUIPO GRN DEFIENDE!"
"Winpanel_YellowWins"			"¡EL EQUIPO YLW GANA!"
"Winpanel_YellowAdvances"		"EL EQUIPO YLW OCUPA LA ZONA"
"Winpanel_YellowDefends"		"¡EL EQUIPO YLW DEFIENDE!"
"Winpanel_GreenMVPs"			"Mejores jugadores del equipo GRN:"
"Winpanel_YellowMVPs"			"Mejores jugadores del equipo YLW:"

"Winreason_KOTHPointHeld"		"%s1 mantuvo el Punto de Control hasta que se acabó el tiempo"
"Winreason_PayloadPushed"		"%s1 empujó la carga hasta el último terminal"
"Winreason_ArenaPointCaptured"	"%s1 capturó el Punto de Control"
"Winreason_RoundScoreLimit"		"%s1 llegó a %s2 puntos"
"Winreason_VIPEscaped"			"El VIP ha huido"
"Winreason_VIPKilled"			"El VIP fue eliminado"

// ----------------------------------------------------------------
// Main Menu
// ----------------------------------------------------------------

"TF_Menu_Welcome"			"Bienvenido de Nuevo,"

"TF_Menu_ResumeGame"		"Reanudar Juego"
"TF_Menu_Mute"				"Silenciar Jugadores"
"TF_Menu_Vote"				"Iniciar Votación"

"TF_Menu_FindServers"		"Encontrar Servidores"
"TF_Menu_CreateServer"		"Crear Servidor"
"TF_Menu_OfflineTraining"	"Entrenamiento"

"TF_Menu_Loadout"			"EQUIPAMIENTO"

"TF_Menu_Achievements"		"Ver Logros"
"TF_Menu_Stats"				"Estadísticas de Jugador"

"TF_Menu_Options"			"Opciones"
"TF_Menu_Addons"			"Extensiones (¡Próximamente!)"

"TF_Menu_Quit"				"Salir"
"TF_Menu_Disconnect"		"Desconectar"

"TF_Menu_Blog"				"Blog Oficial"

"TF_Friends_Title"					"Amigos (%friend_count%)"
"TF_Friends_Status_InTF2C"			"Jugando TF2C"
"TF_Friends_Status_Idle_InTF2C"		"Inactivo: TF2C"
"TF_Friends_Status_InMod"			"Jugando Mod"
"TF_Friends_Status_Idle_InMod"		"Inactivo: Mod"
"TF_Friends_Status_InGame"			"Jugando a otro juego"
"TF_Friends_Status_Idle"			"Inactivo"
"TF_Friends_Status_Online"			"En Linea"
"TF_Friends_Status_Away"			"Ausente"
"TF_Friends_Status_Offline"			"Desconectado"


// ----------------------------------------------------------------
// Loadout
// ----------------------------------------------------------------

// Loadout gamemode indicator
"TF_Loadout_Modifier_StockItemsOnly"		"¡Solo Objetos Básicos!"
"TF_Loadout_Modifier_MedievalItemsOnly"		"¡Solo Objetos\"Medievales\"!"
"TF_Loadout_Modifier_RandomizerClasses"		"¡Clases Aleatorias!"
"TF_Loadout_Modifier_RandomizerItems"		"¡Objetos Aleatorios!"
"TF_Loadout_Modifier_RandomizerAttributes"	"¡Atributos Aleatorios"
"TF_Loadout_Modifier_RandomizerMayhem"		"¡Caos Total Aleatorio!"
"TF_Loadout_Modifier_CustomWeaponsEnabled"	"¡Armas Personalizadas!"

// Item slot types
"TF_Loadout_Slot_Invalid"		"Inválido"
"TF_Loadout_Slot_Primary"		"Primario"
"TF_Loadout_Slot_Secondary"		"Secundario"
"TF_Loadout_Slot_Melee"			"Cuerpo a Cuerpo"
"TF_Loadout_Slot_Utility"		"Utilidad"
"TF_Loadout_Slot_Building"		"Construcción"
"TF_Loadout_Slot_PDA1"			"PDA"
"TF_Loadout_Slot_PDA2"			"PDA2"

// Item slot vanity names
"TF_Loadout_Slot_Secondary_Medic"	"Pistola Médica"
"TF_Loadout_Slot_Building_Spy"		"Zapador"
"TF_Loadout_Slot_PDA2_Spy"			"Reloj"

"TF_Loadout_Close"			"Cerrar"
"TF_Loadout_Back"			"Atrás"
"TF_Loadout_Defaults"		"Reiniciar"

// Reset inventory
"TF_ConfirmDefaultInventory_Title"		"Reiniciar Inventario"
"TF_ConfirmDefaultInventory_Message"	"¿Seguro que quieres reiniciar tu inventario?"
"TF_ConfirmDefaultInventory_OK"			"Reiniciar"

// ----------------------------------------------------------------
// Options
// ----------------------------------------------------------------

// TODO this is one big mess
// Keyboard Options
"TF2c_KeyboardCategory_Movement"        "MOVIMIENTO"
"TF2c_KeyboardCategory_Combat"          "COMBATE"
"TF2c_KeyboardCategory_Communication"   "COMUNICACIÓN"
"TF2c_KeyboardCategory_UI"  		 	"INTERFAZ"
"TF2c_KeyboardCategory_Extra"			"EXTRAS"
"TF2c_UseDefaultsButton"				"Reiniciar Teclas"
"TF_ClassSkill_Spy_Spywalk"				"SPY: Paseo de Spy"
"TF_Voice_Menu_0_0"						"Comando de Voz: ¡MEDIC!"
"TF_Voice_Menu_0_1"						"Comando de Voz: ¡Gracias!"
"TF_Voice_Menu_1_0"						"Comando de Voz: Ya llegan"
"TF_Voice_Menu_1_1"						"Comando de Voz: ¡Un Spy!"
"TF_Voice_Menu_1_2"						"Comando de Voz: ¡Centinela al frente!"
"TF_Voice_Menu_1_3"						"Comando de Voz: Teleportador aquí"
"TF_Voice_Menu_1_4"						"Comando de Voz: Dispensador aquí"
"TF_Voice_Menu_1_5"						"Comando de Voz: Centinela aquí"
"TF_Voice_Menu_1_6"						"Comando de Voz: ¡Activa la carga!"
"TF_Voice_Menu_1_7"						"Comando de Voz: (MEDIC) ¡Supercarga lista!"
"TF_Voice_Menu_2_0"						"Comando de Voz: ¡Ayuda!"
"TF_Spec_Next"							"Siguiente objetivo (Espectador)"
"TF_Spec_Prev"							"Anterior objetivo (Espectador)"
"TF_Spec_Mode"							"Cambiar modo cámara (Espectador)"
"TF_Use"								"Usar (Interactuar)"
"TF_Kill"								"Suicidarse"
"TF_Explode"							"Explotarse"

// Scoreboard Options
"TF_Enable"								"Habilitar"
"TF_Disable"							"Deshabilitar"
"TF_RightClick_Enable"					"Botón Derecho para Habilitar"

// UI options
"TF_Open_Charinfo"						"Abrir Equipamiento"

"TF2c_EnableGamepad"					"Activar el mando"

"TF2c_MouseRawInput"					"Entrada directa"
"TF2c_MouseSensitivity"					"Sensibilidad de ratón"
"TF2c_MouseSmoothing"					"Filtro de ratón"
"TF2c_MouseAcceleration"				"Aceleración del ratón"
"TF2c_MouseAccelerationStrength"		"Cantidad de aceleración"

"TF2c_Options_Game"                     "JUEGO"
"TF2c_Options_Input"                    "ENTRADA"
"TF2c_Options_Video"                    "VÍDEO"
"TF2c_Options_Audio"                    "AUDIO"
"TF2c_Options_MultiPlayer"              "MULTIJUGADOR"

"TF2c_OptionCategory_Mouse"				"RATÓN"
"TF2c_OptionCategory_Joystick"			"MANDO"
"TF2c_OptionCategory_Keyboard"			"TECLADO"

"TF2c_OptionCategory_Graphics"			"GRÁFICOS"
"TF2c_OptionCategory_Video"				"VÍDEO"

"TF2c_OptionCategory_Volume"			"VOLUMEN"
"TF2c_OptionCategory_Device"			"DISPOSITVO"
"TF2c_OptionCategory_Language"			"IDIOMA"
"TF2c_OptionCategory_Voice"				"VOZ"

"TF2c_OptionCategory_Combat"			"COMBATE"
"TF2c_OptionCategory_HUD"				"HUD"
"TF2c_OptionCategory_ViewModel"			"MODELO DE VISTA"
"TF2c_OptionCategory_ClassSpecific"		"ESPECÍFICAS DE CLASE"
"TF2c_OptionCategory_Performance"		"PERFORMANCE"
"TF2c_OptionCategory_Misc"				"RENDIMIENTO"
"TF2c_OptionCategory_Replay"			"REPLAYS"
"TF2c_OptionCategory_DemoSupport"		"DEMOS"
"TF2c_OptionCategory_Communication"		"COMUNICACIÓN"

"TF2c_OptionCategory_CustomizationMultiplayer"			"Personalización"
"TF2c_OptionCategory_Network"							"RED"

"TF2c_MuteUnfocused"					"Silenciar al desenfocar"

"TF2c_Options_Custom"					"Personalizado"

"TF2c_ChatFilterSettingsButton"			"Abrir ajustes"

"GameUI_CloseWithoutSaving"				"Cerrar sin guardar"
"GameUI_CloseWithoutSavingText" 		"¿Estás seguro de que deseas cerrar?\n ¡Se perderán todos los cambios no guardados!"
"GameUI_Legacy"							"Menú Heredado"
"GameUI_Effect_Detail"          		"Detalle del efecto"
"GameUI_VeryLow"               			"Muy bajo"
"GameUI_Off"               				"Desactivado"
"GameUI_Everyone"               		"Todos"
"GameUI_FriendsOnly"               		"Solo amigos"

"GameUI_Restart"						"Es necesario reiniciar"
"GameUI_RestartText"					"Algunos cambios que has realizado requieren que se reinicie el juego:"
"GameUI_OptionsRestart_Revert"			"Revertir cambios"

// Combat
"TF2C_Option_DamageFeedback"				"Habilitar sonidos de daño"
"TF2C_Tooltip_DamageFeedback"				"Reproduce sonidos contextuales al infligir o recibir diferentes tipos de daño"
"TF2C_Option_DamageFeedbackOutgoing"		"Habilitar sonidos de daño infligido"
"TF2C_Tooltip_DamageFeedbackOutgoing"		"Los sonidos de daño infligido se reproducen al infligir daño a los enemigos"
"TF2C_Option_DamageFeedbackOutgoingVolume"	"Volumen de los sonidos de daño infligido"
"TF2C_Tooltip_DamageFeedbackOutgoingVolume"	"El volumen de los sonidos contextuales que se reproducen al infligir daño"
"TF2C_Option_DamageFeedbackIncoming"		"Habilitar sonidos de daño recibido"
"TF2C_Tooltip_DamageFeedbackIncoming"		"Los sonidos de daño recibido se reproducen al recibir daño de los enemigos"
"TF2C_Option_DamageFeedbackIncomingVolume"	"Volumen de los sonidos de daño recibido"
"TF2C_Tooltip_DamageFeedbackIncomingVolume"	"El volumen de los sonidos contextuales que se reproducen al recibir daño"

"TF_CenterFirePreference"         	"Prefiere que los proyectiles disparen desde el centro"
"TF_CenterFirePreference_Tip"    	"La coordenada Y de la posición de aparición de los proyectiles se establece en 0 para el jugador"
"TF_BurningDeathAnim"				"Activar animaciones de muerte en llamas"
"TF_BurningDeathAnim_Tip"			"Los jugadores podrán reproducir una animación especial de muerte cuando mueran por fuego"
"TF_CombatTextBatchingWindow"		"Retraso entre eventos de daño acumulado por texto de combate"
"TF_CombatTextBatchingWindow_Tip"	"Retraso máximo entre eventos de daños para agrupar números"
"TF_CombatTextDropShadow"			"Mostrar texto de combate con sombra paralela"
"TF_CombatTextDropShadow_Tip"		"Muestra una sombra paralela en todo el texto de combate"

// ClassSpecific
"TF_CyclopsDoubleTap"             	"DEMOMAN: Activar el doble clic de Cíclope"
"TF_CyclopsDoubleTap_Tip"        	"Las granadas de Cíclope requerirán un segundo clic para detonar, en lugar de soltar el disparo primario"
"TF_SapperAwareness"                "ENGINEER: Sensibilización de los Zapadores"
"TF_SapperAwareness_Tip"            "Las alertas de Zapadores en construcciones se muestran en un color alternativo"
"TF_SniperBell"					    "SNIPER: Reproduce un sonido cuando el Rifle está completamente cargado"
"TF_SniperBell_Tip"					"Los rifles de francotirador emitirán automáticamente un sonido cuando estén completamente cargados"
"TF_ZoomSensitivityRatio"			"SNIPER: Sensibilidad del Zoom"
"TF_ZoomSensitivityRatio_Tip"		"Ajusta la sensibilidad del zoom mientras apuntas con el rifle"
"TF_SpywalkInverted"				"SPY: Utilizar el Paseo de Spy por defecto"
"TF_SpywalkInverted_Tip"			"Utiliza el Paseo de Spy por defecto, y la velocidad de movimiento normal con el botón Paseo de Spy"
"TF_ViewModelCloakTint"				"SPY: Tinte de camuflaje del Model de Vista"
"TF_ViewModelCloakTint_Tip"			"SPY: Permitir que los modelos de vista se tiñan mientras estás invisible"
"TF_AvoidBecomingVIP"				"CIVILIAN: Evitar convertirte en el VIP"
"TF_AvoidBecomingVIP_Tip"			"No se te tendrá en cuenta normalmente cuando el juego elija a un VIP"

// HUD
"TF_LoadoutGrid"                  "Activar rejilla de inventario"
"TF_LoadoutGrid_Tip"              "La página de inventario de armas se mostrará como una rejilla"
"TF_HighlightAmmo"				  "Mostrar contornos brillantes en las armas caídas"
"TF_HighlightAmmo_Tip"			  "Las armas caídas tendrán contornos brillantes para resaltar su ubicación"
"TF_ScoreBoardShowAvatars"		  "Mostrar avatares en la tabla de puntuaciones"
"TF_ShowCurrentWeapon"		  	  "Mostrar el arma actualmente equipada"
"TF_OverlayToastPosition"         "Posición de las notificaciones superpuestas de Steam"
"TF_TopLeft"                      "Superior izquierda"
"TF_TopRight"                     "Superior derecha"
"TF_BottomLeft"                   "Inferior izquierda"
"TF_BottomRight"                  "Inferior derecha"
"TF_OverlayToastInsetHoriz"       "Inserción horizontal de notificaciones de Steam"
"TF_OverlayToastInsetVert"        "Inserción vertical de notificaciones de Steam"
"TF_TargetID_Floating_Health"	  "Identificador de Objetivo: Activar barra de salud flotante"
"TF_TargetID_Floating_Health_Tip" "Muestra la barra de salud sobre el personaje"
"TF_TargetID_Alpha"				  "Identificador de Objetivo: Opacidad"
"TF_TargetID_Alpha_Tip"			  "Define la transparencia del elemento del identificador de objetivo"
"TF_TargetID_Show_Avatars"		  "Identificador de Objetivo: Mostrar avatar de Steam"
"TF_TargetID_Show_Avatars_Tip"	  "Mostrar avatares de Steam en el identificador de objetivo"
"TF_HideKeybinds"                 "Ocultar las teclas asignadas que se muestran en el juego"
"TF_HideKeybinds_Tip"			  "Desactivar la visualización de las teclas asignadas que se muestran en el HUD del juego"
"TF_AlternativeTimer"             "Usar un temporizador alternativo en el juego"
"TF_AlternativeTimer_Tip"         "Se utilizará un temporizador alternativo con fuente mono"
"TF_DisableDropShadow"            "Desactivar sombra paralela"
"TF_DisableDropShadow_Tip"        "Eliminará la sombra paralela de la mayoría de los textos e imágenes"
"TF_DeathNoticeMax"               "Aviso de muerte: cantidad máxima visible"
"TF_DeathNoticeMax_Tip"           "Establece la cantidad máxima de avisos de muerte que se pueden mostrar al mismo tiempo"
"TF_DeathNoticeTime"              "Aviso de muerte: tiempo de caducidad de las entradas (en segundos)"
"TF_DeathNoticeTime_Tip"          "Establece el tiempo de caducidad de los elementos del aviso de muerte"

// ViewModel
"TF_ViewModelFOV"				"Campo de visión del modelo de vista"
"TF_FlipViewModels"				"Invertir los modelos de vista"
"TF_InvisibleArms"				"Activar brazos invisibles"
"TF_ViewModelOpacity"			"Opacidad del modelo de vista"

// Misc
"TF_ClassAutoKill"					"Suicidio después de elegir clase de jugador"
"TF_ClassAutoKill_Tip"				"Te suicidarás cada vez que cambies de clase sin estar en una sala de reaparición"
"TF_ClassMenu_Music"				"Música del Menú de selección de Clase"
"TF_StreamerMode"					"Activar el modo streamer"
"TF_StreamerMode_Tip"				"Se deshabilita el chat (excepto voz) y se anonimiza a todos en la partida"
"TF_ModelMuzzleFlash"				"Activar modelo del fogonazo beta"
"TF_ModelMuzzleFlash_Tip"			"Los fogonazos utilizarán modelos en lugar de partículas"

// Voice
"TF2c_Option_Proximity_Voice_Local"	"Activar voz basada en proximidad"

// Multiplayer
"TF_MessageAlert"				  "Activar el sonido de mensajes de chat"
"TF_MessageAlert_Tip"			  "Se reproducirá un sonido cuando se reciba un mensaje de chat"
"TF_MessageVolume"				  "Volumen del sonido de mensajes de chat"
"TF_DownloadFilter_Title"			"Permisos para archivos personalizados de servidores"
"GameUI_DownloadFilter_All"			"Todos los archivos personalizados"
"GameUI_DownloadFilter_NoSounds"	"Sin sonidos personalizados"
"GameUI_DownloadFilter_MapsOnly"	"Solo archivos de mapa"
"GameUI_DownloadFilter_None"		"Sin archivos personalizados"
"TF_Network_Rate"       			"Tasa de actualización de red"
"TF_Network_Rate_Tip"       		"Establece la tasa de actualización de la red, lo que a su vez establece la cantidad de interpolación.\n\nSe recomienda probar cada una y ver cuál se adapta mejor a tu conexión de red."

// Video
"TF2c_Option_BloomScale"	"Efecto de resplandor"

// ----------------------------------------------------------------
// Stats
// ----------------------------------------------------------------
										   
"TF_Stats_Reset"						"Reiniciar" // R
"TF_Stats_Close"						"Cerrar" // Q

"TF_NextTip"							"Siguiente consejo"
																								   
"Stat_PadJumps"							"CTRL.AÉREOS"

"StatPanel_Label_PadJumps"				"Nº usos de controlador aéreo: "

"TF_ClassRecord_MostUbercharges"		"Máx. Supercargas:"
"TF_ClassRecord_Alt_MostUbercharges"	"Supercargas"
"TF_ClassRecord_MostPadJumps"			"Máx. saltos (ctrl.aéreo):"
"TF_ClassRecord_Alt_MostPadJumps"		"Saltos"

"StatPanel_PadJumps_Best"				"Tus controladores aéreos se han utilizado más veces en esa ronda que en tu récord anterior."
"StatPanel_PadJumps_Tie"				"Has igualado tu récord de saltos de controlador aéreo en esa ronda."
"StatPanel_PadJumps_Close"				"Te has acercado a tu récord de saltos de controlador aéreo en esa ronda."
"StatPanel_MVM_PadJumps_Best"			"Tus controladores aéreos se han utilizado más veces en esa ronda de Mann vs. Machine que en tu récord anterior."
"StatPanel_MVM_PadJumps_Tie"			"Has igualado tu récord de saltos de controlador aéreo en esa ronda de Mann vs. Machine."
"StatPanel_MVM_PadJumps_Close"			"Te has acercado a tu récord de saltos de controlador aéreo en esa ronda de Mann vs. Machine."
// ----------------------------------------------------------------
// Achievements
// ----------------------------------------------------------------

// Achievement groups
"Achievement_Group_3000"	"Clases de Ofensiva (%s1 de %s2)"
"Achievement_Group_3100"	"Clases de Defensa (%s1 de %s2)"
"Achievement_Group_3200"	"Clases de Apoyo (%s1 de %s2)"
"Achievement_Group_3300"	"Modos de Juego y Mapas (%s1 de %s2)"

// Launch achievements
"TF2C_ACHIEVEMENT_KILL_WITH_DISTANTRPG_NAME"			"Un Accidente Calculado"
"TF2C_ACHIEVEMENT_KILL_WITH_DISTANTRPG_DESC"			"Mata a un jugador enemigo desde bastante distancia con un cohete que viaja en arco."
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_NAME"			"Trotamundos con Experiencia"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_DESC"			"Juega una partida completa en Dustbowl, 2Fort, Badlands (CP), Well (CTF) y Avanti."
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_CP_DUSTBOWL"	"Dustbowl"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_CTF_2FORT"	"2Fort"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_CP_BADLANDS"	"Badlands (CP)"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_CTF_WELL"	"Well (CTF)"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_VIP_AVANTI"	"Avanti"
"TF2C_ACHIEVEMENT_KILL_BUILDINGS_WITH_MIRV_NAME"		"'¡KA-BOOOM!'"
"TF2C_ACHIEVEMENT_KILL_BUILDINGS_WITH_MIRV_DESC"		"Deshazte de 5 o más construcciones de un Engineer con el Paquete de Dinamita."
"TF2C_ACHIEVEMENT_DEFUSE_MIRV_NAME"						"Escuadrón Bomba"
"TF2C_ACHIEVEMENT_DEFUSE_MIRV_DESC"						"Desactiva un Paquete de Dinamita enemiga con la Llave Inglesa."
"TF2C_ACHIEVEMENT_TRANQ_MELEE_KILL_NAME"				"Sueño Profundo"
"TF2C_ACHIEVEMENT_TRANQ_MELEE_KILL_DESC"				"Como Spy, mata a 10 jugadores tranquilizados con tu arma cuerpo a cuerpo."
"TF2C_ACHIEVEMENT_EXTINGUISH_BOMBLETS_NAME"				"Soplar las velas"
"TF2C_ACHIEVEMENT_EXTINGUISH_BOMBLETS_DESC"				"Extingue 20 cartuchos de dinamita con tu aire comprimido."
"TF2C_ACHIEVEMENT_KILL_SENTRY_WITH_NAILGUN_NAME"		"Clavos Mortales"
"TF2C_ACHIEVEMENT_KILL_SENTRY_WITH_NAILGUN_DESC"		"Con la Pistola de Clavos, destruye 5 Armas Centinelas."
"TF2C_ACHIEVEMENT_BRICK_NAME"							"Ladrillo"
"TF2C_ACHIEVEMENT_BRICK_DESC"							"..."
"TF2C_ACHIEVEMENT_ANCHOR_DEATHKILL_NAME"				"Abajo con el Barco"
"TF2C_ACHIEVEMENT_ANCHOR_DEATHKILL_DESC"				"Mata a un enemigo con un terremoto de Ancla del Almirantazgo mientras recibes daño letal por caída."
"TF2C_ACHIEVEMENT_SSG_MEATSHOTS_NAME"					"¡Destroza y Desgarra!"
"TF2C_ACHIEVEMENT_SSG_MEATSHOTS_DESC"					"Mata a 10 enemigos con tiros certeros usando el Doble Cañón."
"TF2C_ACHIEVEMENT_HARVESTER_DECAP_SINGLE_LIFE_NAME"		"Rodarán Cabezas"
"TF2C_ACHIEVEMENT_HARVESTER_DECAP_SINGLE_LIFE_DESC"		"Decapita a 3 enemigos con el Segador en una sola vida."
"TF2C_ACHIEVEMENT_CYCLOPS_COMBO_NAME"					"Combo Salpicado"
"TF2C_ACHIEVEMENT_CYCLOPS_COMBO_DESC"					"Mata al menos a 3 enemigos con una sola detonación combinada de Cíclope."
"TF2C_ACHIEVEMENT_SANDVICH_MINES_NAME"					"Desarme"
"TF2C_ACHIEVEMENT_SANDVICH_MINES_DESC"					"Como Heavy, activa con seguridad una Mina enemiga colocada hace más de 5 segundos sin acercarte a ella."
"TF2C_ACHIEVEMENT_TAUNT_KILL_MIRV_NAME"					"1, 1, 1, Uhh..."
"TF2C_ACHIEVEMENT_TAUNT_KILL_MIRV_DESC"					"Mata a un enemigo con una configuración de explosivos que ha salido mal."
"TF2C_ACHIEVEMENT_AA_GUN_CHALLENGE_NAME"				"Política de Contención"
"TF2C_ACHIEVEMENT_AA_GUN_CHALLENGE_DESC"				"Usando el Cañón Anti-Aéreo, haz 2000 de daño en una sola vida sin golpearte a ti mismo."
"TF2C_ACHIEVEMENT_CHEKHOV_CRIT_KILL_NAME"				"Frutos del Trabajo"
