"lang"
{
"Language" "German"
"2Bridge_cap_A"	"die Brücke von RED"
"2Bridge_cap_B"	"die Brücke von BLU"

// vipr_drizzle
"Drizzle_cap_A"	"der Mineneingang von RED"
"Drizzle_cap_B"	"der Mineneingang von BLU"

// dom_railway
"Railway_cap_A"	"Eroberungsp. A, die Garage"
"Railway_cap_B"	"Eroberungsp. B, Verladehalle"
"Railway_cap_C"	"Eroberungsp. C, Lagerhalle"

// dom_sawtooth
"Sawtooth_cap_A"	"Eroberungsp. A, Aussichtsposten"
"Sawtooth_cap_B"	"Eroberungsp. B, Sägewerk"
"Sawtooth_cap_C"	"Eroberungsp. C, Funkturm"

// td_sunnyside
"Sunnyside_cap_A"	"Eroberungsp. A, Scheune"
"Sunnyside_cap_B"	"Eroberungsp. B, die Silos"
"Sunnyside_cap_C"	"Eroberungsp. C, Hühnerstahl"

// vip_avanti
"Avanti_red_setup_goal"		"Bergab bewegen und den gegnerischen VIP töten, um ihn daran zu hindern, die Fluchtzone zu erreichen!"
"Avanti_blue_setup_goal"	"Bergauf bewegen und den VIP zur Fluchtzone eskortieren!"
"Avanti_cap_1"				"das Lager"
"Avanti_cap_2"				"die Terrasse"
"Avanti_cap_3"				"der Glockenturm"
"Avanti_cap_4"				"die Eingangstore"

// vipr_chopper
"Chopper_cap_A"				"das Radar von RED"
"Chopper_cap_B"				"das Radar von BLU"

// ----------------------------------------------------------------
// Gamemodes
// ----------------------------------------------------------------

"Gametype_CTF_Penguin"		"Pinguin erobern" // We have fun here
"Gametype_Domination"		"Dominierung"
"Gametype_MedDomination"	"Dominierung (Mittelalter)"
"Gametype_KOTF"				"Kampf um die Flagge"
"Gametype_TD"				"Territoriale Dominierung"
"Gametype_VIP"				"VIP"
"Gametype_VIPRace"			"VIP-Rennen"

"Gametype_FourTeam"	"Vier-Team"

"Gametype_Arena_FourTeam"			"Arena (Vier-Team)"
"Gametype_AttackDefense_FourTeam"	"Angriff / Verteidigung (Vier-Team)"
"Gametype_CP_FourTeam"				"Kontrollpunkte (Vier-Team)"
"Gametype_CTF_FourTeam"				"Flagge erobern (Vier-Team)"
"Gametype_Domination_FourTeam"		"Dominierung (Vier-Team)"
"Gametype_MedDomination_FourTeam"	"Dominierung (Vier-Team Mittelalter)"
"Gametype_KOTF_FourTeam"			"Kampf um die Flagge (Vier-Team)"
"Gametype_Koth_FourTeam"			"King of the Hill (Vier-Team)"
"Gametype_Escort_FourTeam"			"Frachtbeförderung (Vier-Team)"
"Gametype_EscortRace_FourTeam"		"Frachrennen (Vier-Team)"
"Gametype_SD_FourTeam"				"Sonderzustellung (Vier-Team)"
"Gametype_TD_FourTeam"				"Territoriale Dominierung (Vier-Team)"
"Gametype_Training_FourTeam"		"Trainingsmodus (Vier-Team)"
"Gametype_VIP_FourTeam"				"VIP (Vier-Team)"
"Gametype_VIPRace_FourTeam"			"VIP-Rennen (Vier-Team)"

// Offline practice descriptions
"TF_GameModeDesc_VIP"			"Team BLU eskortiert den Civilian zum Kontrollpunkt. Team RED muss ihn aufhalten."
"TF_GameModeDesc_VIPRace"		"Den Civilian zur Ziellinie eskortieren. Verhindern Sie, dass das gegnerische Team dasselbe tut."
"TF_GameModeDesc_Domination"	"Kontrollpunkte erobern und so lange wie möglich halten."
"TF_GameModeDesc_Arena"			"Alle gegnerische Spieler eliminieren oder solange warten, bis der Kontrollpunkt freigeschaltet wird."

"TF_GameModeBrief_VIPRace"		"VIP-Rennen - Beide Teams haben einen VIP"

// ----------------------------------------------------------------
// Gamemode strings
// ----------------------------------------------------------------

// Domination
"default_dom_description"	"Missionsziel:
Um zu gewinnen muss ein Team Kontrollpunkte erobern und halten, um Punkte zu gewinnen. Je mehr Kontrollpunkte man besitzt, desto schneller erhält man Punkte.

Bemerkungen:
Beim erobern eines Kontrollpunktes verhindert, dass der Gegner mit diesem Kontrollpunkt Punkte gewinnt.

Wenn Ihr Team zurückliegt, erobern Sie alle Kontrollpunkte, um einen Punktebonus zu erhalten."

"domination_setup_goal"	"Kontrollpunkte erobern, um mit der Zeit Punkte zu erhalten. Weitere Kontrollpunkte erobern, um die Erfolgschancen zu erhöhen!"

// VIP
"default_vip_description"	"Missionsziel:
Team BLU muss den VIP vor Ablauf der Zeit in die Fluchtzone eskortiert, um zu gewinnen. Team RED muss den VIP aufhalten, die Fluchtzone zu erreichen, um zu gewinnen.

Bemerkungen:
Team BLU kann die Kontrollpunkte nicht erobern, wenn der VIP nicht anwesend ist."

"vip_setup_goal_offense"	"Den VIP zur Fluchtzone eskortieren."
"vip_setup_goal_defense"	"Gegnerischen VIP töten, um ihn daran zu hindern, die Fluchtzone zu erreichen."

"TF_VIP_Assigned"				"%s1 ist jetzt der VIP!"
"TF_VIP_Tutorial_Annotation_2"	"Er stärkt die Verteidigung seiner Mitspieler und\n kann ein Mitglied seines Teams vorübergehend mit Boost stärken!"
"TF_VIP_Tutorial_Annotation_3"	"Aber nicht vergessen: sein Leben ist wichtiger als Ihres, also lassen Sie ihn nicht im Stich!"

"Cant_cap_civilian_only"		"Nur der VIP kann\n diesen Kontrollpunkt erobern."
"Cant_cap_civilian_only_frozen"	"Punkteroberung eingefroren\n Nur der VIP kann\n diesen Kontrollpunkt erobern."

// VIP (Lives)
"vipl_setup_goal_offense"	"Den VIP zur Fluchtzone eskortieren. Verhindern Sie seine Eliminierung."
"vipl_setup_goal_defense"	"Den gegnerischen VIP töten, um ihn daran zu hindern, die Fluchtzone zu erreichen und zu gewinnen."

// VIP (Flags)
"vip_bring_flag_here"	"Das Gerät hierher bringen!"
"vip_bring_flag"		"Das Gerät in den Kontrollraum bringen!"

"TF_VIP_TakeDeviceToPoint"		"Bringen Sie das Gerät zum Kontrollraum!"
"TF_VIP_TeamDeviceReturned"		"Das Gerät ist zurückgekehrt! Holen Sie es!"
"TF_VIP_EnemyDeviceReturned"	"Das Gerät ist zurückgekehrt! Den Ausgangsplatz verteidigen!"

// VIP Race
"default_vipr_description"	"Missionsziel:
Den VIP zum gegnerischen Kontrollpunkt und anschließend in die Fluchtzone eskortieren, um zu gewinnen. Den gegnerischen VIP töten, um alle Kontrollpunkte, die er erobert hat, zurückzusetzen.

Bemerkungen:
Wenn Ihr VIP stirbt, verlieren Sie alle Kontrollpunkte, die Ihr VIP erobert hat.

Ein Team kann die Kontrollpunkte nicht erobern, wenn der VIP nicht anwesend ist.

Beim Endkampf kann der gegnerische VIP getötet werden, um die Runde zu gewinnen!"

"vipr_setup_goal"		"Den VIP zu den Kontrollpunkten bringen. Verhindern Sie, dass der gegnerische VIP dasselbe tut."
"vipr_setup_goal_4team"	"Den VIP zu den Kontrollpunkten bringen. Verhindern Sie, dass die gegnerischen VIPs dasselbe tun."

"vipr_cap_wrong_vip"	"Den FEINDLICHEN Kontrollpunkt erobern, Trottel!"
"vipr_own_civ_death"	"Ihr VIP wurde eliminiert! Beschützen Sie ihn!"
"vipr_their_civ_death"	"Gut gemacht! Der gegnerische VIP wurde eliminiert!"
"vipr_cap_a_reset"		"Kontrollpunkt A wurde zurückgesetzt!"
"vipr_cap_b_reset"		"Kontrollpunkt B wurde zurückgesetzt!"
"vipr_cap_a_reset_vip"	"Sie sind gestorben! Kontrollpunkt A wurde zurückgesetzt!"
"vipr_cap_b_reset_vip"	"Sie sind gestorben! Kontrollpunkt B wurde zurückgesetzt!"

"vipr_central_point"		"der zentrale Kontrollpunkt"
"vipr_cap_mid_reset"		"Der zentrale Kontrollpunkt wurde zurückgesetzt!"
"vipr_death_cap_mid_reset"	"Sie sind gestorben! Der zentrale Kontrollpunkt wurde zurückgesetzt!"

"vipr_red_civ_death"	"RED's VIP wurde eliminiert!"
"vipr_blu_civ_death"	"BLU's VIP wurde eliminiert!"
"vipr_ylw_civ_death"	"YLW's VIP wurde eliminiert!"
"vipr_grn_civ_death"	"GRN's VIP wurde eliminiert!"

"vipr_escape_zone"	"die Fluchtzone"

// Territorial Domination
"default_td_description"			"Missionsziel:
Um zu gewinnen muss ein Team alle Kontrollpunkte erobern.

Bemerkungen:
Sie spawnen an den Kontrollpunkten, die Sie erobert haben.

Der Besitz von Kontrollpunkten durch die Teams wird zu Beginn jeder Runde zufällig verteilt."

// Payload Race (Four-Team)
"4plr_goal"	"Zum Gewinnen Lore zur Ende der Strecke schieben!"

"4plr_cap_red"	"RED's Kontrollpunkt"
"4plr_cap_blu"	"BLU's Kontrollpunkt"
"4plr_cap_grn"	"GRN's Kontrollpunkt"
"4plr_cap_ylw"	"YLW's Kontrollpunkt"

// Useful generic stuff for mappers
"generic_cap_A"			"Kontrollpunkt A"
"generic_cap_B"			"Kontrollpunkt B"
"generic_cap_C"			"Kontrollpunkt C"
"generic_cap_D"			"Kontrollpunkt D"
"generic_cap_E"			"Kontrollpunkt E"

// ----------------------------------------------------------------
// Intro movies
// ----------------------------------------------------------------

// cp_coldfront
"TF_IM_Coldfront_Intro"	"Coldfront ist eine Kontrollpunkt Karte"

// cp_steel
"TF_IM_Steel_Intro"	"Steel ist eine Angriff/Verteidigen-Karte."
"TF_IM_Steel_BlueWin"	"Zum Gewinnen muss Team BLU  Kontrollpunkt E erobern."
"TF_IM_Steel_PlotTwist"	"Doch..."
"TF_IM_Steel_FinalCap"	"Kontrollpunkt E ist von Anfang an aktiv. Team BLU kann ihn jederzeit erobern."
"TF_IM_Steel_Points"	"Wenn Sie die Kontrollpunkte A, B, C und D erobern, wird Kontrollpunkt E leichter zu erobern sein!"
"TF_IM_Steel_CapA"	"Erobern von Kontrollpunkt A öffnet weitere Wege zu Kontrollpunkte B und E."
"TF_IM_Steel_CapB"	"Erobern von Kontrollpunkt B ändert sich der Spawnpunkt von Team RED und öffnet der Weg zu Kontrollpunkt C. "
"TF_IM_Steel_CapC"	"Erobern von Kontrollpunkt C fährt die Brücken zu Kontrollpunkt E aus."
"TF_IM_Steel_CapD"	"Erobern von Kontrollpunkt D blockiert den einfachen Zugang zu Kontrollpunkt E für Team RED."
"TF_IM_Steel_Bridge"	"Ohne die Brücken, kann Kontrollpunkt E nicht von allen Klassen erreicht werden."
"TF_IM_Steel_Pit"	"Vorsicht vor dem Abgrund!"

// VIP Race
"TF_IM_VIPR_Intro"	"Willkommen bei VIP-Rennen"
"TF_IM_VIPR_ToWin"	"Zum Gewinnen müssen Sie ihrem VIP helfen, den gegnerischen Kontrollpunkt zu erobern ..."
"TF_IM_VIPR_Escape"	"... und ihn dann in die Fluchtzone eskortieren, bevor das feindliche Team dasselbe tut!"
"TF_IM_VIPR_Death"	"Wenn ein VIP stirbt, werden alle Kontrollpunkte, die er erobert hat, zurückgesetzt"
"TF_IM_VIPR_HUD"	"Den Status und den Fortschritt beider VIPs wird auf Ihrem HUD angezeigt"

// ----------------------------------------------------------------
// Scoreboard
// ----------------------------------------------------------------

"TF_ScoreBoard_JumppadJumpsLabel"	"Sprungpl.:"
"TF_ScoreBoard_Player"				"%s1 Spieler"
"TF_ScoreBoard_Players"				"%s1 Spieler"
"ScoreBoard_Spectator"				"%s1 Zuschauer: %s2"
"ScoreBoard_Spectators"				"%s1 Zuschauer: %s2"

"TF_ScoreBoard_KillsLabel"			"Kills:"
"TF_ScoreBoard_AssistsLabel"		"Assists:"
"TF_ScoreBoard_DeathsLabel"			"Tode:"

"TF_Scoreboard_DamageLabel"			"Schaden:"
"TF_ScoreBoard_HealingLabel"		"Heilung:"
"TF_Scoreboard_SupportLabel"		"Unterst:"

"TF_ScoreBoard_CapturesLabel"		"Eroberungen:"
"TF_ScoreBoard_DefensesLabel"		"Verteid.:"
"TF_ScoreBoard_DominationsLabel"	"Domin.:"
"TF_ScoreBoard_RevengesLabel"		"Rache:"
"TF_ScoreBoard_BonusLabel"			"Bonus:"

"TF_ScoreBoard_UberchargesLabel"	"Unverwundb.:"
"TF_ScoreBoard_TransportsLabel"		"Befördert:"
"TF_ScoreBoard_DestructionsLabel"	"Zerstör.:"
"TF_ScoreBoard_HeadshotsLabel"		"Kopfschüsse:"
"TF_ScoreBoard_BackstabsLabel"		"Rückenstiche:"

"TF_Medal_Developer"	"TF2C-Entwickler"
"TF_Medal_Contributor"	"TF2C-Mitwirkender"
"TF_Medal_Playtester"	"TF2C-Spieletester"

// ----------------------------------------------------------------
// Win Panel
// ----------------------------------------------------------------

"Winpanel_Teams1"	"TEAMS"
"Winpanel_Teams2"	"Teams"

"Winpanel_TeamWins"		"%s1 %s2 GEWINNT!"
"Winpanel_TeamLost"		"%s1 %s2 VERLIERT/VERLIEREN!"
"Winpanel_TeamAdvances"	"%s1 %s2 EROBERT BEREICH"
"Winpanel_TeamDefends"	"%s1 %s2 VERTEIDIGT!"

"WinPanel_Green_Team_Wins"	"Team GRN gewinnt"
"WinPanel_Yellow_Team_Wins"	"Team YLW gewinnt"

"Winpanel_GreenWins"		"TEAM GRN GEWINNT!"
"Winpanel_GreenAdvances"	"TEAM GRN EROBERT BEREICH"
"Winpanel_GreenDefends"		"TEAM GRN VERTEIDIGT!"
"Winpanel_YellowWins"		"TEAM YLW GEWINNT!"
"Winpanel_YellowAdvances"	"TEAM YLW EROBERT BEREICH"
"Winpanel_YellowDefends"	"TEAM YLW VERTEIDIGT!"
"Winpanel_GreenMVPs"		"Beste Spieler Team GRN:"
"Winpanel_YellowMVPs"		"Beste Spieler Team YLW:"

"Winreason_KOTHPointHeld"		"%s1 hielt den Kontrollpunkt bis zum Ende"
"Winreason_PayloadPushed"		"%s1 brachte die Fracht zur Endstation"
"Winreason_ArenaPointCaptured"	"%s1 eroberte den Kontrollpunkt"
"Winreason_RoundScoreLimit"		"%s1 erreichte %s2 Punkte"
"Winreason_VIPEscaped"			"Der VIP ist entkommen"
"Winreason_VIPKilled"			"Der VIP wurde eliminiert"

// ----------------------------------------------------------------
// Main Menu
// ----------------------------------------------------------------

"TF_Menu_Welcome"			"Willkommen zurück,"

"TF_Menu_ResumeGame"		"Fortsetzen"
"TF_Menu_Mute"				"Spieler stummschalten"
"TF_Menu_Vote"				"Abstimmung starten"

"TF_Menu_FindServers"		"Server finden"
"TF_Menu_CreateServer"		"Server erstellen"
"TF_Menu_OfflineTraining"	"Offline üben"

"TF_Menu_Loadout"			"Ausrüstung"

"TF_Menu_Achievements"		"Errungenschaften"
"TF_Menu_Stats"				"Statistik"

"TF_Menu_Options"			"Optionen"
"TF_Menu_Addons"			"Addons (Kommt bald!)"

"TF_Menu_Quit"				"Spiel beenden"
"TF_Menu_Disconnect"		"Verbindung trennen"

"TF_Menu_Blog"				"TF2C Webseite"

"TF_Friends_Title"					"Freunde (%friend_count%)"
"TF_Friends_Status_InTF2C"			"Spielt TF2C"
"TF_Friends_Status_Idle_InTF2C"		"Untätig: TF2C"
"TF_Friends_Status_InMod"			"Spielt andere Mod"
"TF_Friends_Status_Idle_InMod"		"Untätig: andere Mod"
"TF_Friends_Status_InGame"			"Spielt anderes Spiel"
"TF_Friends_Status_Idle"			"Untätig"
"TF_Friends_Status_Online"			"Online"
"TF_Friends_Status_Away"			"Abwesend"
"TF_Friends_Status_Offline"			"Offline"


// ----------------------------------------------------------------
// Loadout
// ----------------------------------------------------------------

// Loadout gamemode indicator
"TF_Loadout_Modifier_StockItemsOnly"		"Nur Standardgeg.!"
"TF_Loadout_Modifier_MedievalItemsOnly"		"Nur \"mittelalt.\" Gegenstände!"
"TF_Loadout_Modifier_RandomizerClasses"		"Zufällige Klassen!"
"TF_Loadout_Modifier_RandomizerItems"		"Zufällige Gegenstände!"
"TF_Loadout_Modifier_RandomizerAttributes"	"Zufällige Attribute!"
"TF_Loadout_Modifier_RandomizerMayhem"		"Zufalls-Chaos!"
"TF_Loadout_Modifier_CustomWeaponsEnabled"	"Benutzerdef. Waffen aktivieren!"

// Item slot types
"TF_Loadout_Slot_Invalid"		"Invalide"
"TF_Loadout_Slot_Primary"		"Primärwaffe"
"TF_Loadout_Slot_Secondary"		"Sekundärwaffe"
"TF_Loadout_Slot_Melee"			"Nahkampfwaffe"
"TF_Loadout_Slot_Utility"		"Hilfsmittel"
"TF_Loadout_Slot_Building"		"Gebäude"
"TF_Loadout_Slot_PDA1"			"PDA"
"TF_Loadout_Slot_PDA2"			"PDA2"

// Item slot vanity names
"TF_Loadout_Slot_Secondary_Medic"	"Medigun"
"TF_Loadout_Slot_Building_Spy"		"Sapper"
"TF_Loadout_Slot_PDA2_Spy"			"Uhr"

"TF_Loadout_Close"				"Fertig"
"TF_Loadout_Back"				"Zurück"
"TF_Loadout_Defaults"		    "Standard"

// Reset inventory
"TF_ConfirmDefaultInventory_Title"		"Standard Ausrüstung"
"TF_ConfirmDefaultInventory_Message"	"Ausrüstung für diese Klasse auf Standardwaffen zurücksetzen?"
"TF_ConfirmDefaultInventory_OK"			"Ja"

// ----------------------------------------------------------------
// Options
// ----------------------------------------------------------------

// TODO this is one big mess
// Keyboard Options
"TF2c_KeyboardCategory_Movement"        "BEWEGUNG"
"TF2c_KeyboardCategory_Combat"          "KAMPF"
"TF2c_KeyboardCategory_Communication"   "KOMMUNIKATION"
"TF2c_KeyboardCategory_UI"  		 	"UI"
"TF2c_KeyboardCategory_Extra"			"EXTRA"
"TF2c_UseDefaultsButton"				"Tasten wiederherstellen"
"TF_ClassSkill_Spy_Spywalk"				"SPY: Spionage"
"TF_Voice_Menu_0_0"						"Sprachbefehl: MEDIC!"
"TF_Voice_Menu_0_1"						"Sprachbefehl: Danke!"
"TF_Voice_Menu_1_0"						"Sprachbefehl: Gesellschaft"
"TF_Voice_Menu_1_1"						"Sprachbefehl: Spy!"
"TF_Voice_Menu_1_2"						"Sprachbefehl: Sentry voraus!"
"TF_Voice_Menu_1_3"						"Sprachbefehl: Teleporter hier"
"TF_Voice_Menu_1_4"						"Sprachbefehl: Dispenser hier"
"TF_Voice_Menu_1_5"						"Sprachbefehl: Sentry hier"
"TF_Voice_Menu_1_6"						"Sprachbefehl: Aktiviere die Ladung"
"TF_Voice_Menu_1_7"						"Sprachbefehl: (MEDIC) Überladung-Status!"
"TF_Voice_Menu_2_0"						"Sprachbefehl: Hilfe!"
"TF_Spec_Next"							"Nächstes Ziel wechseln"
"TF_Spec_Prev"							"Voriges Ziel wechseln"
"TF_Spec_Mode"							"Zuschauermodus wechseln"
"TF_Use"								"Benutzen (Interagieren)"
"TF_Kill"								"Selbstumbringen"
"TF_Explode"							"Selbst explodieren"

// Scoreboard Options
"TF_Enable"								"Aktivieren"
"TF_Disable"							"Deaktivieren"
"TF_RightClick_Enable"					"Rechtsklick zum Aktivieren"

// TF2C custom hit feedback strings
"tf_dingalingaling_TF2C"				"TF2C"
"tf_dingalingaling_Default"				"Ding / Benutzerdef. Sound"

// UI options
"TF_Open_Charinfo"						"Ausrüstung öffnen"

"TF2c_EnableGamepad"					"Gamepad aktivieren"

"TF2c_MouseRawInput"					"Rohdatennutzung"
"TF2c_MouseSensitivity"					"Mausempfindlichkeit"
"TF2c_MouseSmoothing"					"Mausglättung"
"TF2c_MouseAcceleration"				"Mausbeschleunigung"
"TF2c_MouseAccelerationStrength"		"Mausbeschleunigung anpassen"

"TF2c_UseDefaultsButton"				"Belegungen wiederherstellen"

"TF2c_KeyboardCategory_Movement"        "BEWEGUNG"
"TF2c_KeyboardCategory_TF2"             "TF2"
"TF2c_KeyboardCategory_Combat"          "KAMPF"
"TF2c_KeyboardCategory_ClassSpecific"   "KLASSEN"
"TF2c_KeyboardCategory_Communication"   "KOMMUNIK."
"TF2c_KeyboardCategory_Misc"			"SONST."

"TF2c_Options_Game"                     "SPIEL"
"TF2c_Options_Input"                    "EINGABE"
"TF2c_Options_Video"                    "VIDEO"
"TF2c_Options_Audio"                    "AUDIO"
"TF2c_Options_MultiPlayer"              "MULTIPLAYER"

"TF2c_OptionCategory_Mouse"				"MAUS"
"TF2c_OptionCategory_Joystick"			"GAMEPAD"
"TF2c_OptionCategory_Keyboard"			"TASTATUR"

"TF2c_OptionCategory_Graphics"			"GRAFIK"
"TF2c_OptionCategory_Video"				"VIDEO"

"TF2c_OptionCategory_Volume"			"LAUTSTÄRKE"
"TF2c_OptionCategory_Device"			"GERÄT"
"TF2c_OptionCategory_Language"			"SPRACHE"
"TF2c_OptionCategory_Voice"				"CHAT"

"TF2c_OptionCategory_Combat"			"KAMPF"
"TF2c_OptionCategory_HUD"				"HUD"
"TF2c_OptionCategory_ViewModel"			"ANSICHTSMODELL"
"TF2c_OptionCategory_ClassSpecific"		"KLASSENSPEZ."
"TF2c_OptionCategory_Performance"		"LEISTUNG"
"TF2c_OptionCategory_Misc"				"SONST."
"TF2c_OptionCategory_Replay"			"AUFNAHMEN"
"TF2c_OptionCategory_DemoSupport"		"DEMO"
"TF2c_OptionCategory_Communication"		"KOMMUNIK."

"TF2c_OptionCategory_CustomizationMultiplayer"			"Anpassen"
"TF2c_OptionCategory_Network"					"NETZWERK"	

"TF2c_MuteUnfocused"					"Stummschalten"

"TF2c_Options_Custom"					"Benutzerdef."

"TF2c_ChatFilterSettingsButton"			"Einstellungen öffnen"

"GameUI_CloseWithoutSaving"				"Ohne Speichern schließen"
"GameUI_CloseWithoutSavingText" 		"Möchten Sie wirklich schließen?\nAlle nicht gespeicherten Änderungen gehen verloren!"
"GameUI_Legacy"							"Altes Menü"
"GameUI_Effect_Detail"          		"Effekt-Detail"
"GameUI_Network_Quality"       			"Netzwerk-Qualität"
"GameUI_VeryLow"               			"Sehr niedrig"
"GameUI_Off"               				"Aus"
"GameUI_Everyone"               		"Alle"
"GameUI_FriendsOnly"               		"Nur Freunde"

"GameUI_Restart"						"Neustart erforderlich"
"GameUI_RestartText"					"Das Spiel muss neu gestartet werden, damit die Einstellung geändert wird:"
"GameUI_OptionsRestart_Revert"			"Zurücksetzen"

// Combat
"TF2C_Option_DamageFeedback"				"Schadens-Fedback aktivieren"
"TF2C_Tooltip_DamageFeedback"				"Schadens-Feedback spielt kontextbezogene Sounds ab, wenn unterschiedliche Arten von Schaden verursacht oder erlitten werden."
"TF2C_Option_DamageFeedbackOutgoing"		"Verursachter Schadens-Feedback aktivieren"
"TF2C_Tooltip_DamageFeedbackOutgoing"		"Verursachter Schaden an Feinden werden Sounds für Schadens-Feedback abgespielt"
"TF2C_Option_DamageFeedbackOutgoingVolume"	"Lautstärke des verursachten Schadens-Feedbacks"
"TF2C_Tooltip_DamageFeedbackOutgoingVolume"	"Lautstärke der kontextbezogenen Sounds, die beim Verursachen von Schaden abgespielt werden, anpassen"
"TF2C_Option_DamageFeedbackIncoming"		"Erlittenem Schadens-Feedback aktivieren"
"TF2C_Tooltip_DamageFeedbackIncoming"		"Erlittenem Schaden werden Sounds für Schadens-Feedback abgespielt"
"TF2C_Option_DamageFeedbackIncomingVolume"	"Lautstärke des erlittenem Schadens-Feedbacks"
"TF2C_Tooltip_DamageFeedbackIncomingVolume"	"Lautstärke der kontextbezogenen Sounds anpassen, die bei erlittenem Schaden abgespielt werden"

"TF_CenterFirePreference"         	"Projektile aus der Mitte abfeuern"
"TF_CenterFirePreference_Tip"    	"Wenn eingeschaltet, setzt die Y-Koordinate der Spawn-Position von Projektilen für den Spieler auf 0; der Spieler muss die Verbindung trennen oder in den Zuschauermodus wechseln, um diese Einstellung anzuwenden."
"TF_BurningDeathAnim"				"Todesanimationen bei Verbrennung aktivieren"
"TF_BurningDeathAnim_Tip"			"Wenn eingeschaltet, spielen die Gegner eine spezielle Todesanimation ab, wenn sie durch Feuer sterben."
"TF_CombatTextBatchingWindow"		"Verzögerung zwischen akkumulierten Schaden im Kampftext"
"TF_CombatTextBatchingWindow_Tip"	"Trommelt die Zahlen zwischen maximaler Verzögerung und Schaden."
"TF_CombatTextDropshadow"			"Kampftext mit Schlagschatten anzeigen"
"TF_CombatTextDropshadow_Tip"		"Wenn eingeschaltet, zeigt der Kampftext mit Schlagschatten an."

// ClassSpecific
"TF_CyclopsDoubleTap"             	"DEMOMAN: Zyklopen-Feuertaste zweimal drücken aktivieren"
"TF_CyclopsDoubleTap_Tip"        	"Wenn eingeschaltet, detonieren die Zyklopengranaten durch zweimaliges Drücken, anstatt die Feuertaste gedrückt halten und loslassen."
"TF_SapperAwareness"                "ENGINEER: Sapper-Bewusstsein"
"TF_SapperAwareness_Tip"            "Wenn eingeschaltet, wird Warnung vor Engineer auf Gebäude in einer anderen Farbe angezeigt."
"TF_SniperBell"					    "SNIPER: Sound abspielen, wenn das Zielfernrohr des Scharfschützengewehr vollgeladen ist"
"TF_SniperBell_Tip"					"Wenn eingeschaltet, wird automatisch ein Sound abspielen, wenn die Leiste vollgeladen ist."
"TF_ZoomSensitivityRatio"			"SNIPER: Zoom-Empfindlichkeitsverhältnis"
"TF_ZoomSensitivityRatio_Tip"		"Die Empfindlichkeit des Zooms anpassen."
"TF_SpywalkInverted"				"SPY: Spionage als Standard verwenden"
"TF_SpywalkInverted_Tip"			"Wenn eingeschaltet, wird je nach Tarnung die Spionage-Geschwindigkeit angepasst - Tastenbefehl gedrückt halten, um Spys Laufgeschwindigkeit zu verwenden."
"TF_ViewModelCloakTint"				"SPY: Ansichtsmodell-Tarunung färben"
"TF_ViewModelCloakTint_Tip"			"SPY: Ansichtsmodelle können gefärbt werden, während Sie getarnt sind."
"TF_ZoomSensitivityRatio"			"SNIPER: Zoom-Empfindlichkeitsverhältnis"
"TF_ZoomSensitivityRatio_Tip"		"Die Empfindlichkeit des Zooms anpassen."
"TF_AvoidBecomingVIP"				"CIVILIAN: Nicht VIP werden"
"TF_AvoidBecomingVIP_Tip"			"Wenn eingeschaltet, werden Sie im Spiel als VIP nicht ausgewählt; sie können trotzdem VIP werden, wenn alle diese Option eingeschaltet haben oder wenn sie durch eine Abstimmung gewählt werden."

// HUD
"TF_LoadoutGrid"                  "Ausrüstungsraster aktivieren"
"TF_LoadoutGrid_Tip"              "Wenn eingeschaltet, wird die Ausrüstungsseite als Raster angezeigt."
"TF_HighlightAmmo"				  "Leuchtumrisse auf fallengelassene Waffen zeigen"
"TF_HighlightAmmo_Tip"			  "Wenn eingeschaltet, werden fallen gelassene Waffen mit leuchtenden Umrissen versehen, um ihre Position zu markieren."
"TF_ScoreBoardShowAvatars"		  "Avatare auf der Punktetafel anzeigen"
"TF_ShowCurrentWeapon"		  	  "Aktuell ausgerüstete Waffe anzeigen"
"TF_OverlayToastPosition"         "Position der Steam-Benachrichtigungen"
"TF_TopLeft"                      "Obenlinks"
"TF_TopRight"                     "Obenrechts"
"TF_BottomLeft"                   "Untenlinks"
"TF_BottomRight"                  "Untenrechts"
"TF_OverlayToastInsetHoriz"       "Horizontale Einblendung von Steam-Benachrichtigungen"
"TF_OverlayToastInsetVert"        "Vertikale Einblendung von Steam-Benachrichtigungen"
"TF_TargetID_Floating_Health"	  "Ziel-ID - Schwebende Gesundheitsleisten deaktivieren"
"TF_TargetID_Floating_Health_Tip" "Wenn eingeschaltet, wird die Ziel-ID-Gesundheitsleiste im Charakternamensschild angezeigt"
"TF_TargetID_Alpha"				  "Zeil-ID - Transparenz des Namensschilds"
"TF_TargetID_Alpha_Tip"			  "Legt die Transparenz des Ziel-ID-Namensschildes fest"
"TF_TargetID_Show_Avatars"		  "Ziel-ID - Profilbilder auf Ziel-ID anzeigen"
"TF_TargetID_Show_Avatars_Tip"	  "Steam-Profilbilder auf Ziel-ID anzeigen"
"TF_HideKeybinds"                 "Tastenbelegungen im Spiel ausblenden"
"TF_HideKeybinds_Tip"			  "Die Anzeige der Tastenbelegungen im HUD anzeigen."
"TF_AlternativeTimer"             "Alternativen Timer verwenden"
"TF_AlternativeTimer_Tip"         "Wenn eingeschaltet, wird ein alternativer einfarbiger Schriftart-Timer verwendet."
